,0
376,https://www.goodreads.com/book/show/50.Hatchet
377,https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
378,https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
379,https://www.goodreads.com/book/show/84981.Tuck_Everlasting
380,https://www.goodreads.com/book/show/232576.Harriet_the_Spy
381,https://www.goodreads.com/book/show/180617.Pinocchio
382,https://www.goodreads.com/book/show/511614.The_101_Dalmatians
383,https://www.goodreads.com/book/show/310258.The_Snowy_Day
384,https://www.goodreads.com/book/show/6105514-the-jungle-book
385,https://www.goodreads.com/book/show/4381.Fahrenheit_451
386,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
387,https://www.goodreads.com/book/show/759611.Brown_Bear_Brown_Bear_What_Do_You_See_
388,https://www.goodreads.com/book/show/54479.Around_the_World_in_Eighty_Days
389,https://www.goodreads.com/book/show/79121.The_Happy_Prince
390,https://www.goodreads.com/book/show/193093.Stone_Soup
391,https://www.goodreads.com/book/show/34053.Just_So_Stories
392,https://www.goodreads.com/book/show/310259.Love_You_Forever
393,https://www.goodreads.com/book/show/7733.Gulliver_s_Travels
394,https://www.goodreads.com/book/show/231821.The_Incredible_Journey
395,https://www.goodreads.com/book/show/537296.Frog_and_Toad_Are_Friends
396,https://www.goodreads.com/book/show/147732.Miss_Nelson_Is_Missing_
397,https://www.goodreads.com/book/show/62446.The_Prince_and_the_Pauper
398,https://www.goodreads.com/book/show/231850.Corduroy
399,https://www.goodreads.com/book/show/160629.A_Bear_Called_Paddington
400,https://www.goodreads.com/book/show/4667024-the-help
401,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
402,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
403,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
404,https://www.goodreads.com/book/show/10210.Jane_Eyre
405,https://www.goodreads.com/book/show/9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe
406,https://www.goodreads.com/book/show/15931.The_Notebook
407,https://www.goodreads.com/book/show/12232938-the-lovely-bones
408,https://www.goodreads.com/book/show/11486.The_Color_Purple
409,https://www.goodreads.com/book/show/3412.The_Thorn_Birds
410,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
411,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
412,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
413,https://www.goodreads.com/book/show/4989.The_Red_Tent
414,https://www.goodreads.com/book/show/2865.Girl_with_a_Pearl_Earring
415,https://www.goodreads.com/book/show/5168.Where_the_Heart_Is
416,https://www.goodreads.com/book/show/6185.Wuthering_Heights
417,https://www.goodreads.com/book/show/10964.Outlander
418,https://www.goodreads.com/book/show/3473.A_Walk_to_Remember
419,https://www.goodreads.com/book/show/2728527-the-guernsey-literary-and-potato-peel-pie-society
420,https://www.goodreads.com/book/show/8437379-call-me-irresistible
421,https://www.goodreads.com/book/show/7763.The_Joy_Luck_Club
422,https://www.goodreads.com/book/show/19288043-gone-girl
423,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
424,https://www.goodreads.com/book/show/6969.Emma
425,https://www.goodreads.com/book/show/32234.White_Oleander
426,https://www.goodreads.com/book/show/42156.Something_Borrowed
427,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
428,https://www.goodreads.com/book/show/83674.The_Bridges_of_Madison_County
429,https://www.goodreads.com/book/show/2153405.Still_Alice
430,https://www.goodreads.com/book/show/7445.The_Glass_Castle
431,https://www.goodreads.com/book/show/12873.Rebecca
432,https://www.goodreads.com/book/show/930.Memoirs_of_a_Geisha
433,https://www.goodreads.com/book/show/7955579-harry-potter-and-the-philosopher-s-stone
434,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
435,https://www.goodreads.com/book/show/7937843-room
